Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134251-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,12.764285496303014,14,6900,CAR@ATL,ATL,CAR,Q,Oblique,,,,QB
134251-30231,QB,Jacoby,Jacoby Brissett,Brissett,16.479999542236328,1,6900,SEA@ARI,ARI,SEA,,,,,,QB
134251-44715,QB,Cooper,Cooper Rush,Rush,7.71999979019165,1,6900,CAR@ATL,ATL,CAR,,,,,,QB
134251-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.03111097547743,9,6900,CAR@ATL,ATL,CAR,Q,Knee - acl,,,,QB
134251-169776,WR,Christian,Christian Watson,Watson,32.70000076293945,1,6900,GB@NYJ,GB,NYJ,,,,,,WR/FLEX
134251-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,11.300000190734863,1,6900,NO@BAL,NO,BAL,,,,,,RB/FLEX
134251-63589,QB,Sam,Sam Darnold,Darnold,0.5199999809265137,1,6800,SEA@ARI,SEA,ARI,D,Lower body,,,,QB
134251-22038,QB,Kirk,Kirk Cousins,Cousins,15.800000190734863,1,6800,LV@LAC,LV,LAC,,,,,,QB
134251-64051,QB,Drew,Drew Lock,Lock,12.779999732971191,1,6800,SEA@ARI,SEA,ARI,,,,,,QB
134251-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,8,1,6800,CAR@ATL,CAR,ATL,,,,,,WR/FLEX
134251-151794,TE,Brock,Brock Bowers,Bowers,12.516666412353516,12,6700,LV@LAC,LV,LAC,Q,Knee - meniscus,,,,TE/FLEX
134251-90573,WR,Jaylen,Jaylen Waddle,Waddle,0.699999988079071,1,6700,JAC@DEN,DEN,JAC,,,,,,WR/FLEX
134251-26483,QB,Geno,Geno Smith,Smith,9.300000190734863,1,6700,GB@NYJ,NYJ,GB,,,,,,QB
134251-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,12,1,6700,PIT@NE,NE,PIT,,,,,,RB/FLEX
134251-137516,WR,Parker,Parker Washington,Washington,16.799999237060547,1,6600,JAC@DEN,JAC,DEN,,,,,,WR/FLEX
134251-54879,QB,Deshaun,Deshaun Watson,Watson,15,1,6600,CLE@TB,CLE,TB,,,,,,QB
134251-87691,QB,Malik,Malik Willis,Willis,17.700000762939453,1,6600,MIA@SF,MIA,SF,,,,,,QB
134251-152655,WR,Emeka,Emeka Egbuka,Egbuka,8.800000190734863,1,6500,CLE@TB,TB,CLE,,,,,,WR/FLEX
134251-168356,QB,Cam,Cam Ward,Ward,11.699999809265137,1,6500,PHI@TEN,TEN,PHI,,,,,,QB
